门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
B850	63924	保山沈官小区二分店	保山市隆阳区青华街道廖沈小区2,3号地块3号标段30号	云南分部	药店	0875-3068171	0875-3068171	保山分部	保山	保山地区	保山03	2022/7/26 15:16	2020/5/29 0:00		25.116525	99.189329
B851	63903	建水清远路分店	云南省建水县临安镇清远路旁1-5号	云南分部	药店	15752558578	15752558578	红河分部	建水	红河二区	红河二区08	2022/7/26 15:17	2020/8/14 0:00		23.624579	102.809411
B852	64625	南宁云景路分店	南宁市青秀区云景路9号东景花园3号楼3-05号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区04	2022/10/8 17:00	2020/6/24 0:00		22.817178	108.390383
B853	64883	南宁香奈儿庄园分店	南宁市江南区白沙大道109号龙光•普罗旺斯香奈儿庄园9号楼一层117，118号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区02	2022/10/8 17:01	2021/9/24 0:00		108.283053	22.770184
B854	64383	昆明美伦花乡分店	昆明市金诚花园(美伦花乡)菁园10号	云南分部	药店	0871-65128725	0871-65128725	昆明一部	昆明	昆明北区	昆明北区02	2022/7/29 9:25	2020/6/24 0:00		25.099537	102.717485
B855	64564	呈贡中心文化广场分店	昆明市呈贡区文化广场西侧1幢综合楼一层商铺14,15号	云南分部	药店	0871-65919943	0871-65919943	昆明一部	昆明	呈贡新区	呈贡新区09	2022/7/26 15:04	2020/6/11 0:00		24.888634	102.799335
B856	64563	大理鸡足山路分店	云南省大理白族自治州大理市下关镇大关邑村委会大展屯村十组97号附1号	云南分部	药店	NULL	NULL	大理分部	大理	大理北区	大理北区02	2022/7/26 14:34	2020/6/18 0:00		25.608099	100.217764
B857	64823	昭通康晟花园分店	昭通市昭阳区二环西路西侧南部物流区10号地块康晟花园1幢1层102号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通05	2022/8/23 11:36	2020/6/14 0:00		27.309064	103.692231
B858	64943	开远凤凰山水分店	开远市智源南路和河滨南路交叉口凤凰商业广场一层	云南分部	药店	0873-7233332	18687348537	红河分部	开远	红河二区	红河二区01	2022/12/10 15:31	2020/6/25 0:00		23.701564	103.262682
B859	65683	自贡汇兴路一分店	自贡市汇东新区丹桂街交通苑居委会1组综合楼2号底层（汇兴路349、351、353号）	四川分部	药店	0813-3220695	0813-3220695	四川分部	自贡	自贡地区	自贡02	2022/12/6 9:18	2020/6/29 0:00		29.332671	104.776031
B860	64843	永胜环城北路分店	云南省丽江市永胜县永北镇环城北路58号	云南分部	药店	NULL	NULL	丽江分部	永胜	丽江地区	丽江04	2022/7/26 14:56	2020/7/10 0:00		26.691071	100.746759
B861	65064	重庆风临路分店	重庆市南岸区风临路5号附44、45号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区05	2022/10/9 14:34	2020/6/24 0:00		29.529112	106.539691
B862	65066	重庆弹子石正街分店	重庆市南岸区弹子石街道弹子石正街187号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区06	2022/9/2 14:19	2020/6/27 0:00		29.581162	106.589552
B863	65067	重庆黄桷垭正街分店	重庆市南岸区南山街道黄桷垭正街11、13号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区05	2022/9/2 14:21	2020/6/29 0:00		29.546238	106.60416
B864	65684	新平西园路一分店	新平县桂山镇西园路10号景泰名都A7号	云南分部	药店	NULL	NULL	玉溪分部	新平	玉溪地区	玉溪05	2022/7/26 14:56	2020/6/30 0:00		24.065854	101.987644
B865	65403	南宁安吉万达分店	南宁市西乡塘区高新大道55号南宁安吉万达广场 16 栋102  号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区04	2022/10/11 9:31	2020/6/28 0:00		22.867752	108.291993
B866	65084	嵩明金地苑分店	嵩明县城彩云路	云南分部	药店	0871-67919215	0871-67919215	昆明二部	嵩明	郊县地区	郊县地区07	2022/7/26 14:41	2020/6/24 0:00		25.333638	103.037396
B867	65685	自贡汇兴路二分店	自贡市自流井区丹桂街蓝鹰海岸综合楼一层8号	四川分部	药店	0813-5181001	0813-8631001	四川分部	自贡	自贡地区	自贡02	2022/12/5 21:07	2020/7/2 0:00		29.332999	104.777528
B868	65863	通海礼乐东路分店	通海县秀山街道办事处礼乐东路35号的第14、15、16三间	云南分部	药店	NULL	NULL	玉溪分部	通海	通海地区	通海01	2022/7/26 14:27	2020/7/8 0:00		24.111583	102.767089
B869	65263	腾冲茶苑小区分店	云南省保山市腾冲县腾越镇山源社区茶苑小区3号	云南分部	药店	0875-5191173	0875-5191173	保山分部	腾冲	保山地区	保山04	2022/11/19 13:25	2020/6/25 0:00		25.016663	98.494504
B870	65583	禄丰金水路二分店	云南省楚雄州禄丰县金山镇金水路金山综合交易市场院内	云南分部	药店	0878-4147066	0878-4147066	楚雄分部	禄丰	楚雄二区	楚雄二区07	2022/7/26 14:34	2020/7/7 0:00		25.145498	102.072233
B871	65065	安宁柳树花园分店	安宁市柳树花园附20号	云南分部	药店	0871-68660215	0871-68660215	昆明一部	安宁	呈贡新区	呈贡新区03	2022/7/26 14:23	2020/6/29 0:00		24.929912	102.487539
B872	65063	昆明保利玺樾分店	云南省昆明市盘龙区穿金路715号玺樾花园A5地块7幢103,104号	云南分部	药店	0871-65707715	0871-65707715	昆明一部	昆明	昆明东区	昆明东区05	2022/7/26 14:34	2020/6/19 0:00		25.065928	102.741998
B873	65823	南宁丽景湾分店	南宁市邕宁区江湾路6号丽景湾A11栋一层105号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区02	2022/10/8 17:01	2020/6/30 0:00		22.776982	108.450536
B874	65203	南宁龙光玖珑湖分店	南宁市良庆区凤凰路11号龙光玖珑湖S2栋一层121号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/8 17:01	2020/6/29 0:00		22.738427	108.369081
B875	65163	绵阳英郦庄园分店	绵阳市高新区飞云大道东段20号英郦庄园	四川分部	药店	0816-8707596	0816-8707596	四川分部	绵阳	绵阳地区	绵阳02	2022/7/26 15:05	2020/6/30 0:00		31.451855	104.694893
B876	65003	麻栗坡莱溪路分店	麻栗坡县麻栗镇红岩村民委员会莱溪路莱溪农贸市场2幢45、46号	云南分部	药店	NULL	NULL	文山分部	麻栗坡	文山地区	文山12	2022/7/26 14:24	2020/10/12 0:00		23.126335	104.711384
B877	65068	重庆海尔路二分店	重庆江北区海尔路179号附19号2-21、2-22号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区02	2022/10/13 14:05	2020/6/30 0:00			
B878	65464	文山金泰路分店	文山市开化镇开化南路泰康小区11组团77号	云南分部	药店	NULL	NULL	文山分部	文山	文山地区	文山04	2022/7/26 14:53	2020/10/12 0:00		23.358014	104.270029
B879	65463	文山华宇卧龙府分店	文山市凤凰路1号华宇卧龙府3幢1层102号	云南分部	药店	NULL	NULL	文山分部	文山	文山地区	文山02	2022/7/26 14:53	2020/10/15 0:00		23.376941	104.239106
B880	65347	丘北水乡路分店	丘北县锦屏镇石缸坝新城区无号	云南分部	药店	NULL	NULL	文山分部	丘北	文山地区	文山07	2022/7/26 14:37	2020/10/13 0:00		24.044274	104.174695
B881	65083	昆明润城二期分店	昆明市前卫街道办事处拥护社区润城小区A4（19号片区）7幢1-2层110号	云南分部	药店	0871-67151475	0871-67151475	昆明二部	昆明	昆明西区	昆明西区02	2022/7/26 15:20	2020/6/30 0:00		24.994222	102.706191
B882	65343	文山上条街分店	文山市开化镇东风路硕峰新天地BI-1-02,03号	云南分部	药店	NULL	NULL	文山分部	文山	文山地区	文山05	2022/8/24 11:30	2020/10/12 0:00		23.368432	104.249076
B883	65243	南宁盛天东郡分店	南宁市兴宁区昆仑大道58号盛天东郡3号楼5号楼及地下室130室	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区01	2022/10/8 17:01	2020/6/29 0:00		22.868523	108.382457
B884	65346	蒙自红桥枫丹分店	云南省红河州蒙自市红桥枫丹小区第1-2层2107号	云南分部	药店	NULL	NULL	红河分部	蒙自	红河一区	红河一区03	2022/7/26 14:31	2020/6/30 0:00		23.376988	103.363162
B885	65566	昆明丹霞苑分店	昆明市西昌路33号中央丽城56-61号商铺1层商铺61室	云南分部	药店	0871-67152634	0871-67152634	昆明二部	昆明	昆明西区	昆明西区05	2022/7/26 15:10	2020/7/10 0:00		25.024866	102.705122
B886	65603	昆明小新册分店	昆明市呈贡县洛羊镇小新册村民委员会5组一楼	云南分部	药店	NULL	NULL	昆明二部	昆明	郊县地区	郊县地区02	2022/8/22 13:35	2020/7/20 0:00		24.90105	102.83905
B887	65924	马关公园世家分店	马关县马白镇安康路旁城投公园世家一期1幢122、123号	云南分部	药店	NULL	NULL	文山分部	马关	文山地区	文山11	2022/7/26 14:22	2020/11/18 0:00		23.024163	104.390813
B888	66286	丽江仁爱路分店	云南省丽江市玉龙县黄山镇丽江人家三期龙祥苑23幢C-112号	云南分部	药店	NULL	NULL	丽江分部	玉龙	丽江地区	丽江02	2022/8/25 18:06	2020/7/23 0:00		26.833518	100.240532
B889	65925	昆明大梨园路分店	昆明经开区新加坡产业园区昆明螺蛳湾国际商贸城小商品加工基地三期产业项目M8幢1层101（整层）号	云南分部	药店	NULL	NULL	昆明二部	昆明	郊县地区	郊县地区02	2022/8/22 13:37	2020/7/9 0:00		24.9122	102.840378
B890	65926	个旧宝华路分店	云南省红河州个旧市白云新村20幢103、104号	云南分部	药店	NULL	NULL	红河分部	个旧	红河一区	红河一区04	2022/7/26 14:28	2020/8/1 0:00		23.349511	103.159395
B891	65923	南华龙旗路分店	南华县龙川镇龙泉社区纪二组	云南分部	药店	0878-7313966	0878-7313966	楚雄分部	南华	楚雄二区	楚雄二区08	2022/8/12 11:23	2020/8/1 0:00		25.193861	101.277947
B892	66165	大理苍山路分店	云南省大理白族自治州大理市下关苍山路45号同心苑4幢1层4号	云南分部	药店	NULL	NULL	大理分部	大理	大理南区	大理南区01	2022/10/31 14:13	2020/7/24 0:00		25.591655	100.228917
B893	66003	昆明御龙半山分店	昆明市盘龙区茨坝街道办事处龙泉路西侧原白水泥厂处龙贵中心龙翠苑A2-4号楼1层7,8号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明东区	昆明东区01	2022/7/26 14:34	2020/7/18 0:00		25.120621	102.725132
B894	66683	南宁时代茗城二分店	南宁市兴宁区望州南路90号时代茗城13号楼15号楼商业夹层B10068、B10067号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区05	2022/12/3 17:09	2020/8/8 0:00		22.831865	108.337091
B895	66063	昆明车家壁分店	昆明市西山区车家壁农贸市场左侧（春雨路原三角地靠电厂一侧）1,2,3,4,5,6号	云南分部	药店	0871-65835374	0871-65835374	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:41	2020/7/10 0:00		24.994423	102.616072
B896	66604	重庆国鑫路分店	重庆市沙坪坝区国鑫路10号附6号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区05	2022/9/23 13:38	2020/7/25 0:00		29.627919	106.33783
B897	66603	重庆凤鸣山分店	重庆市沙坪坝区凤鸣山302号1幢附16、17号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区02	2022/11/7 14:18	2020/7/22 0:00		29.517228	106.445897
B898	66383	宁洱天壁路分店	普洱市宁洱县宁洱镇天壁路普洱古镇雅园78幢商铺110、111室	云南分部	药店	0879-3201199	0879-3201199	普洱景洪分部	宁洱	普洱二区	普洱二区03	2022/7/26 15:20	2020/7/31 0:00		23.052379	101.043788
B899	66644	南宁宝能城分店	南宁市良庆区平乐大道35号宝能五象湖1号S9号楼一层113，115号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/31 17:07	2020/8/8 0:00		22.727495	108.388021
B900	66164	麻栗坡建华佳苑分店	麻栗坡县文化路建华佳苑1号楼1单元1层1-6、1-7号	云南分部	药店	NULL	NULL	文山分部	麻栗坡	文山地区	文山12	2022/7/26 14:25	2020/11/18 0:00		23.124189	104.700883
B901	66163	个旧德政家园小区分店	云南省红河州个旧市建设路156幢一层	云南分部	药店	13987322514	13987322514	红河分部	个旧	红河一区	红河一区05	2022/7/26 15:09	2020/8/16 0:00		23.391095	103.155846
B902	66606	弥勒拖白路分店	云南省弥勒市温泉路以南、拖白路以西佛城广场1幢1层23号	云南分部	药店	NULL	NULL	红河分部	弥勒	红河二区	红河二区02	2022/7/26 14:37	2020/7/23 0:00		24.403975	103.439884
B903	66205	曲靖吉祥小区分店	曲靖市麒麟区益宁街道花柯七村彩云路旁（现益宁街道金江社区二组85号）	云南分部	药店	NULL	NULL	曲靖分部	曲靖	曲靖南区	曲靖南区03	2022/7/26 14:24	2020/7/8 0:00		25.47441	103.807145
B904	66643	南宁荣和山水美地分店	南宁市青秀区民族大道155号荣和山水美地四组团1号楼27号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区02	2022/10/8 17:01	2020/8/11 0:00		22.818434	108.40402
B905	66206	大理古城叶榆路分店	云南省大理白族自治州大理市大理镇叶榆路1号附7号	云南分部	药店	2675994	15125120785	大理分部	大理古城	大理北区	大理北区01	2022/12/13 10:35	2020/7/26 0:00		25.701186	100.16368
B906	66502	绵阳飞云北路分店	四川省绵阳市高新区飞云北路6号美立方7栋1-1号	四川分部	药店	0816-8728186	0816-8728186	四川分部	绵阳	绵阳地区	绵阳02	2022/7/26 15:17	2020/7/3 0:00		39.996091	116.41764
B907	66743	禄劝掌鸠河东路分店	禄劝县屏山街道办掌鸠河东路	云南分部	药店	0871-68908705	0871-68908705	昆明一部	禄劝	昆明北区	昆明北区09	2022/7/26 15:17	2020/12/18 0:00		25.560213	102.477072
B908	67184	景洪宣慰大道分店	景洪市宣慰大道116号莎湾西环中心	云南分部	药店	NULL	NULL	普洱景洪分部	景洪	景洪地区	景洪地区01	2022/7/26 14:27	2020/8/11 0:00		22.006178	100.794381
B909	66605	昆明东泰花园分店	昆明市第三城金呈东泰花园一区4幢1层1-4-5室	云南分部	药店	NULL	NULL	昆明二部	昆明	郊县地区	郊县地区01	2022/8/22 13:39	2020/7/19 0:00		24.96157	102.794863
B910	66925	自贡丹桂街分店	自贡市汇东新区丹桂街交通苑居委会一组2栋底楼1号	四川分部	药店	0813-8619905	0813-8619905	四川分部	自贡	自贡地区	自贡02	2022/12/5 21:08	2020/7/25 0:00		29.331603	104.776661
B911	66663	元谋元通街分店	楚雄州元谋县元马镇5号街	云南分部	药店	NULL	NULL	楚雄分部	元谋	楚雄二区	楚雄二区06	2022/8/22 13:26	2020/8/7 0:00		25.706611	101.86942
B912	66926	自贡兴川南路分店	自贡市自流井区紫薇路远达南湖郡37栋（-1）-8铺	四川分部	药店	0813-8619906	0813-8619906	四川分部	自贡	自贡地区	自贡02	2022/12/6 9:18	2020/8/1 0:00		29.321745	104.782112
B913	68143	砚山平远镇兴隆路分店	砚山县平远镇丰湖社区兴隆5号	云南分部	药店	NULL	NULL	文山分部	砚山平远	文山地区	文山13	2022/7/26 14:23	2021/1/16 0:00		23.744647	103.763376
B914	66924	华宁宁州一号分店	华宁县宁州街道办宁州一号S1-29号	云南分部	药店	NULL	NULL	玉溪分部	华宁	玉溪地区	玉溪10	2022/7/26 15:00	2020/7/27 0:00		24.188314	102.935791
B915	66923	华宁锦绣宁州分店	华宁县宁州镇宁荣街道南侧第B区3幢03附01号	云南分部	药店	NULL	NULL	玉溪分部	华宁	玉溪地区	玉溪10	2022/7/26 14:59	2020/7/27 0:00		24.182657	102.932146
B916	66927	玉溪万和家园一分店	玉溪市红塔区玉带街道办事处中金官营东侧万和家园玉苑4幢1单元1层030140号	云南分部	药店	NULL	NULL	玉溪分部	玉溪	玉溪地区	玉溪01	2022/7/26 14:22	2020/8/8 0:00		24.357363	102.532235
B917	66943	昭通龙韵雅苑分店	昭通市昭阳区昭通中心城市昭阳大道西延线南侧龙韵雅苑小区东侧景秀蒙泉N1幢第55、56号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通02	2022/11/4 11:46	2020/8/7 0:00		27.331416	103.70112
B918	68144	砚山云尚一品分店	砚山县江那镇兴城大街西绿森云尚一品1幢1层1-3号	云南分部	药店	NULL	NULL	文山分部	砚山	文山地区	文山08	2022/7/26 14:23	2020/11/24 0:00		23.626788	104.343459
B919	67284	成都望东路分店	成都市郫都区郫简镇望东路24号1层24号	四川分部	药店	028-85917516	028-85917516	四川分部	成都	成都地区	成都07	2022/8/27 11:37	2020/8/19 0:00		30.800164	103.895285
B920	67568	绵阳长虹世纪城二期分店	绵阳市涪城区跃进路北段83号长虹.世纪城二期40栋1层6号	四川分部	药店	0816-2926627	0816-2926627	四川分部	绵阳	绵阳地区	绵阳02	2022/7/26 15:04	2020/8/13 0:00		31.490606	104.739323
B921	67285	成都天府一街分店	成都高新区天府一街455号1楼	四川分部	药店	028-86629259	B921	四川分部	成都	成都地区	成都03	2022/12/5 21:07	2020/8/5 0:00		30.559844	104.055598
B922	67183	昆明东华路分店	昆明市东华小区、冬青里24幢底层2号	云南分部	药店	0871-63309033	0871-63309033	昆明二部	昆明	昆明南区	昆明南区01	2022/7/26 14:25	2020/8/5 0:00		25.04168	102.734283
B923	67103	昆明盛高大城二期分店	昆明市滇池路与二环路交接处东南侧滇池半岛小区二期21幢第1层1号	云南分部	药店	0871-67196305	0871-67196305	昆明二部	昆明	昆明西区	昆明西区05	2022/7/26 15:16	2020/8/11 0:00		25.013262	102.700757
B924	67286	弥勒和谐家园分店	云南省红河州弥勒市和谐颐园21-3号	云南分部	药店	NULL	NULL	红河分部	弥勒	红河二区	红河二区02	2022/9/1 17:48	2020/9/7 0:00		24.418648	103.421715
B925	67287	禄劝南城景秀小区分店	禄劝县南城景秀小区	云南分部	药店	0871-68910503	0871-68910503	昆明一部	禄劝	昆明北区	昆明北区09	2022/7/26 15:18	2020/9/4 0:00		25.549358	102.460402
B926	67567	南宁温莎北郡二分店	南宁市昆仑大道995号嘉和城温莎北郡3栋6栋7栋8栋9栋商业裙楼6栋一层1037号，1038号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区01	2022/10/31 17:07	2020/8/18 0:00		22.911874	108.459571
B927	67569	南宁玉凤路分店	南宁市良庆区玉凤路3号蟠龙西  邻家广场107、108、112、113 商铺	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/31 17:07	2020/8/27 0:00		22.771191	108.364029
B928	67043	香格里拉康珠大道分店	云南省迪庆藏族自治州香格里拉市康珠大道与阳塘路交叉口阳光润园1幢23号	云南分部	药店	NULL	NULL	丽江分部	香格里拉	丽江地区	丽江03	2022/9/27 13:47	2020/9/11 0:00		27.827718	99.717088
B929	67305	大理怡景尚居分店	大理市创新工业园区机场路中段怡景尚居S11栋101、102号	云南分部	药店	NULL	NULL	大理分部	大理	大理南区	大理南区03	2022/7/26 14:28	2020/9/14 0:00		100.280549	25.634137
B930	67963	宁洱新民街分店	普洱市宁洱县普洱小镇19-4幢5号	云南分部	药店	NULL	NULL	普洱景洪分部	宁洱	普洱二区	普洱二区03	2022/7/26 14:23	2020/9/11 0:00		23.053701	101.046284
B931	67307	呈贡中交锦绣雅郡分店	昆明市呈贡洛龙街道办事处吴家营中部昆明中交城（A1地块）S1幢1层140,128号	云南分部	药店	0871-65919870	0871-65919870	昆明一部	昆明	呈贡新区	呈贡新区06	2022/7/26 15:02	2020/8/19 0:00		24.852406	102.823109
B932	67304	昆明万兴花园分店	昆明关兴路194号万兴花园二期丁幢1号，附1号	云南分部	药店	0871-63306322	0871-63306322	昆明二部	昆明	昆明南区	昆明南区04	2022/7/26 15:14	2020/8/4 0:00		25.013896	102.740052
B933	67343	香格里拉阳塘路分店	云南省迪庆藏族自治州香格里拉市建塘镇红旗路三号路交叉口南面（现香格里拉市阳塘路42号）	云南分部	药店	NULL	NULL	丽江分部	香格里拉	丽江地区	丽江03	2022/9/27 13:53	2020/9/12 0:00		27.827817	99.709417
B934	68503	绵阳长兴星城分店	绵阳市科创园区园艺街6号长兴星城7栋1层22号	四川分部	药店	0816-6355136	0816-6355136	四川分部	绵阳	绵阳地区	绵阳01	2022/7/26 15:01	2020/8/18 0:00		31.391183	105.046621
B935	67303	香格里拉达娃路分店	云南省迪庆藏族自治州香格里拉市建塘镇达娃路与依若木廊交汇口1号1-3楼	云南分部	药店	NULL	NULL	丽江分部	香格里拉	丽江地区	丽江03	2022/9/27 14:03	2020/9/11 0:00		27.814853	99.70526
B936	67306	大理古城绿玉路分店	云南省大理白族自治州大理旅游度假区绿玉小区绿玉路64号一楼	云南分部	药店	NULL	NULL	大理分部	大理古城	大理北区	大理北区01	2022/7/26 14:47	2020/8/31 0:00		25.681723	100.164708
B937	67965	宁洱凤新街分店	普洱市宁洱县宁洱镇凤新街109号	云南分部	药店	NULL	NULL	普洱景洪分部	宁洱	普洱二区	普洱二区03	2022/7/26 14:23	2020/9/12 0:00		23.060001	101.046173
B938	67566	禄丰金山南路分店	云南省楚雄州禄丰县金山镇金山南路37-39号	云南分部	药店	0878-4136066	0878-4136066	楚雄分部	禄丰	楚雄二区	楚雄二区07	2022/7/26 14:27	2020/9/26 0:00		25.138776	102.07546
B939	67964	景洪花伴里分店	景洪市西路62号	云南分部	药店	NULL	NULL	普洱景洪分部	景洪	景洪地区	景洪地区01	2022/7/26 14:23	2020/9/12 0:00		22.004365	100.784937
B940	67823	昆钢晓东里分店	云南省昆明市安宁市昆钢建设街中段18,20号	云南分部	药店	NULL	NULL	昆明一部	安宁	呈贡新区	呈贡新区03	2022/7/26 14:23	2020/8/26 0:00		24.898343	102.496176
B941	67643	新平文化路一分店	玉溪市新平县桂山镇文化路中段1幢1楼	云南分部	药店	NULL	NULL	玉溪分部	新平	玉溪地区	玉溪05	2022/7/26 14:26	2020/8/24 0:00		24.06573	101.991668
B942	67743	昆明拓东路分店	昆明市拓东路玉川巷19号临街商铺	云南分部	药店	0871-67184805	0871-67184805	昆明二部	昆明	昆明南区	昆明南区03	2022/7/26 15:11	2020/8/27 0:00		25.032942	102.725421
B943	67744	昆明长青路分店	昆明市盘龙区白云路与万华路交汇处滨江俊园23幢1-2层23-2,23-3号	云南分部	药店	0871-65640695	0871-65640695	昆明一部	昆明	昆明东区	昆明东区07	2022/7/26 14:34	2020/8/20 0:00		25.063311	102.715404
B944	67745	重庆凤鸣山三分店	重庆市沙坪坝区凤鸣山306号附25、26号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区02	2022/10/24 16:16	2020/8/19 0:00		29.523478	106.45245
B945	68963	绵阳中央公园分店	绵阳市科教创业园区玉泉北街70号华润中央公园四期2幢1层7号	四川分部	药店	0816-8751607	0816-8751607	四川分部	绵阳	绵阳地区	绵阳01	2022/8/19 14:07	2020/9/5 0:00		31.483887	104.71846
B946	68043	成都文信路分店	成都市郫筒镇文信路206号1层	四川分部	药店	028-86982239	028-86982239	四川分部	成都	成都地区	成都07	2022/9/2 16:53	2020/9/10 0:00		30.794258	103.890687
B947	68083	成都广场路北一段分店	成都市红光镇广场路北一段44号1层	四川分部	药店	028-84597569	028-84597569	四川分部	成都	成都地区	成都06	2022/12/3 11:37	2020/9/3 0:00		30.779016	103.948019
B948	68303	蒙自洲际华府分店	云南省红河州蒙自市天马路与鹿苑路交叉口东南侧洲际华府·世家第12幢1层20、21号	云南分部	药店	NULL	NULL	红河分部	蒙自	红河一区	红河一区01	2022/7/26 15:01	2020/9/3 0:00		23.391308	103.358555
B949	68063	剑川剑鹤公路分店	云南省大理白族自治州剑川县剑鹤公路方达酒店员工集资安置房项目19号一楼	云南分部	药店	NULL	NULL	大理分部	剑川	大理北区	大理北区04	2022/7/26 14:22	2020/8/23 0:00		26.527673	99.913133
B950	69083	双江勐勐南路分店	双江县勐勐南路第1层5-6号	云南分部	药店	NULL	NULL	临沧分部	双江	临沧地区	临沧04	2022/7/26 15:00	2020/9/9 0:00		23.471288	99.82298
B951	68145	富宁文化北路分店	富宁县新华镇新兴社区文化北路珑端园	云南分部	药店	NULL	NULL	文山分部	富宁	文山地区	文山09	2022/7/26 14:37	2020/11/21 0:00		23.627577	105.624833
B952	68603	攀枝花土城街分店	四川省攀枝花市仁和区土城街35号	云南分部	药店	NULL	NULL	攀枝花地区	攀枝花	攀枝花地区	攀枝花01	2022/7/26 14:34	2020/9/25 0:00		26.4907	101.740462
B953	68403	禄劝海田街分店	禄劝县城海田街96号	云南分部	药店	0871-68947794	0871-68947794	昆明一部	禄劝	昆明北区	昆明北区09	2022/7/26 14:26	2020/9/13 0:00		25.558102	102.469088
B954	68263	昆明俊发城蔷薇苑分店	昆明市盘龙区北京路与沣源路交叉口俊发名城二-1期N-6地块3幢S05,S09号	云南分部	药店	0871-63120183	0871-63120183	昆明一部	昆明	昆明东区	昆明东区02	2022/7/26 14:23	2020/8/28 0:00		25.10753	102.754785
B955	68164	呈贡龙斗海岸分店	昆明市呈贡区兴呈路龙斗壹号购物公园C-1F-02号	云南分部	药店	0871-67114961	0871-67114961	昆明一部	昆明	呈贡新区	呈贡新区08	2022/11/21 16:13	2020/9/8 0:00		24.863695	102.841715
B956	69071	双江弄翔路分店	双江县勐勐农贸市场	云南分部	药店	NULL	NULL	临沧分部	双江	临沧地区	临沧04	2022/7/26 14:59	2020/9/9 0:00		23.475623	99.823478
B957	68183	马关凯旋城分店	马关县马白镇西坝路165号	云南分部	药店	NULL	NULL	文山分部	马关	文山地区	文山11	2022/7/26 14:25	2020/11/18 0:00		23.003026	104.383984
B958	68163	富宁壮风水韵小区分店	富宁县新华镇老城区一片区壮风水韵第A组团4至5号A1404、A1405号	云南分部	药店	NULL	NULL	文山分部	富宁	文山地区	文山09	2022/7/26 14:28	2020/11/21 0:00		23.623247	105.621851
B959	70552	施甸人民路分店	云南省保山市施甸县甸阳路35号	云南分部	药店	NULL	NULL	保山分部	施甸	保山地区	保山06	2022/7/26 15:06	2020/9/30 0:00		24.722877	99.187164
B960	78043	弥渡彩云路分店	云南省大理白族自治州弥渡县弥城镇彩云路16号1-2层	云南分部	药店	0872-8160712	0872-8160712	大理分部	弥渡	大理南区	大理南区04	2022/12/6 11:54	2020/12/14 0:00		25.339165	100.488073
B961	68343	昆明银海泊岸分店	昆明市度假区海埂街道办事处银海泊岸小区4号地块7幢105,106号	云南分部	药店	0871-63514259	0871-63514259	昆明二部	昆明	昆明西区	昆明西区03	2022/7/26 14:21	2020/9/8 0:00		24.958162	102.697639
B962	68367	成都龙梓街分店	成都市犀浦镇龙梓街227号附13号,14号,15号-1层	四川分部	药店	028-86753832	028-86753832	四川分部	成都	成都地区	成都07	2022/7/26 15:17	2020/9/17 0:00		30.74978	103.989168
B963	68983	绵阳愿望北吉鑫分店	绵阳市跃进路北段23号愿望北吉鑫一楼2号	四川分部	药店	0816-2303002	0816-2303002	四川分部	绵阳	绵阳地区	绵阳02	2022/7/26 15:04	2020/9/22 0:00		31.481173	104.742121
B964	68543	呈贡紫韵馨苑分店	昆明市呈贡区金盾俊园A5地块6幢1-2层商铺7号	云南分部	药店	0871-65952954	0871-65952954	昆明一部	昆明	呈贡新区	呈贡新区07	2022/12/16 12:37	2022/11/29 0:00		102.822481	24.810116
B965	68563	昆明长水航城云杉苑分店	昆明市官渡区大板桥街道办事处长水航城5号地块4-S1幢1层商铺S1-2号	云南分部	药店	0871-63327162	0871-63327162	昆明二部	昆明	郊县地区	郊县地区02	2022/7/26 15:19	2020/9/21 0:00		25.070483	102.936617
